ngapak,indonesia,contributor,source_type,source_detail,notes
bagas,kuat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bagel,lempar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bagol,kepala bagian belakang menonjol,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bagor,besar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bagoré,besar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bagus,bagus,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bahu,bahu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bajang,anak kecil,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bajeg,minuman jahe,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bajul,buaya,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bakal,akan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bakar,membakar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bakul,penjual,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bal,bola,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
balela,membelot,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
balen,kembali,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bali,pulang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
balung,tulang,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
balur,melumuri,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bamba,bara,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bambang,laki-laki,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bancik,tumpu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bandem,melempar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bandhol,keras kepala,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bandhot,kambing jantan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bandhung,membangun,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
banget,sangat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bangeté,sangat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
